Graphic,Enum,Specification,APP-06 code,identifier1,identifier2,countryCodes,additionalInfo,hostility,status,dtg1,dtg2,echelon,direction,mineType,mobility,terrain,altitude1,altitude2,width,length,radius,grids,weapon,rangeFan
"no fire area circular",NoFireAreaCircular,"FM 1-02.2 + APP-06",240303,Y,,,,Y,Y,Y,Y,,,,,,,,,,Y,,,
"no fire area irregular",NoFireAreaIrregular,"FM 1-02.2 + APP-06",240301,Y,,,,Y,Y,Y,Y,,,,,,,,,,,,,
"no fire area rectangular",NoFireAreaRectangular,"FM 1-02.2 + APP-06",240302,Y,,,,Y,Y,Y,Y,,,,,,,,Y,,,,,
"no fire line",NoFireLine,"APP-06",260300,Y,,,,Y,Y,Y,Y,,,,,,,,,,,,,
"nuclear contaminated area",NuclearContaminatedArea,"APP-06",271900,,,,,,,,,,,,,,,,,,,,,
"objective area",ObjectiveArea,"FM 1-02.2 + APP-06",151700,Y,,,,Y,Y,,,,,,,,,,,,,,,
"obstacle belt",ObstacleBelt,"FM 1-02.2 + APP-06",270100,Y,,,,Y,,,,,,,,,,,,,,,,
"obstacle bypass difficult",ObstacleBypassDifficult,"APP-06",270602,,,,,,,,,,,,,,,,,,,,,
"obstacle bypass easy",ObstacleBypassEasy,"APP-06",270601,,,,,,,,,,,,,,,,,,,,,
"obstacle bypass impossible",ObstacleBypassImpossible,"APP-06",270603,,,,,,,,,,,,,,,,,,,,,
"obstacle free area",ObstacleFreeArea,"FM 1-02.2 + APP-06",270300,Y,,,,Y,,Y,Y,,,,,,,,,,,,,
"obstacle group",ObstacleGroup,"FM 1-02.2",,Y,,,,Y,,,,,,,,,,,,,,,,
"obstacle line",ObstacleLine,"FM 1-02.2 + APP-06",290100,Y,,,,Y,,,,,,,,,,,,,,,,
"obstacle restricted area",ObstacleRestrictedArea,"FM 1-02.2 + APP-06",270400,Y,,,,Y,,Y,Y,,,,,,,,,,,,,
"obstacle zone",ObstacleZone,"FM 1-02.2 + APP-06",270200,Y,,,,Y,,,,,,,,,,,,,,,,
"occupy",Occupy,"FM 1-02.2 + APP-06",341700,,,,,,,,,,,,,,,,,,Y,,,
"passage lane",PassageLane,"FM 1-02.2",,,,,,Y,,Y,Y,,,,,,,,,,,,,
"penetration",Penetration,"FM 1-02.2 + APP-06",341800,,,,,Y,,,,,,,,,,,,,,,,
"penetration box",PenetrationBox,"APP-06",151900,,,,,Y,,,,,,,,,,,,,,,,
"phase line",PhaseLine,"FM 1-02.2 + APP-06",140300,Y,,,,Y,,,,,,,,,,,,,,,,
"pickup zone",PickupZone,"FM 1-02.2 + APP-06",150900,Y,,,,Y,Y,,,,,,,,,,,,,,,
"position area artillery circular",PositionAreaArtilleryCircular,"FM 1-02.2 + APP-06",240502,Y,,,,Y,Y,Y,Y,,,,,,,,,,Y,,,
"position area artillery irregular",PositionAreaArtilleryIrregular,"FM 1-02.2 + APP-06",240503,Y,,,,Y,Y,Y,Y,,,,,,,,,,,,,
"position area artillery rectangular",PositionAreaArtilleryRectangular,"FM 1-02.2 + APP-06",240501,Y,,,,Y,Y,Y,Y,,,,,,,,Y,,,,,
"probable line of deployment",ProbableLineOfDeployment,"FM 1-02.2 + APP-06",141200,Y,,,,Y,,,,,,,,,,,,,,,,
"PsyOps zone, circular",PsyOpsZoneCircular,"APP-06",242703,Y,,,Y,Y,,Y,Y,,,,,,,,,,,,,
"PsyOps zone, irregular",PsyOpsZoneIrregular,"APP-06",242701,Y,,,Y,Y,,Y,Y,,,,,,,,,,,,,
"PsyOps zone, rectangular",PsyOpsZoneRectangular,"APP-06",242702,Y,,,Y,Y,,Y,Y,,,,,,,,Y,,,,,
"purple kill box circular",PurpleKillBoxCircular,"FM 1-02.2 + APP-06",242306,Y,,,,Y,,Y,Y,,,,,,,,,,Y,,,
"purple kill box irregular",PurpleKillBoxIrregular,"FM 1-02.2 + APP-06",242304,Y,,,,Y,,Y,Y,,,,,,,,,,,,,
"purple kill box rectangular",PurpleKillBoxRectangular,"FM 1-02.2 + APP-06",242305,Y,,,,Y,,Y,Y,,,,,,,,Y,,,,,
